SUB_CRITERIO;CRITERIO;FECHA_INMUNIZACION;1aDOSIS1;2aDOSIS1
Alumnos en práctica, sector privado;Personal de salud;27/02/2021;8;
Alumnos en práctica, sector privado;Personal de salud;28/02/2021;1;
Alumnos en práctica, sector privado;Personal de salud;01/03/2021;104;
Alumnos en práctica, sector privado;Personal de salud;02/03/2021;269;17
Alumnos en práctica, sector privado;Personal de salud;03/03/2021;408;551
Alumnos en práctica, sector privado;Personal de salud;04/03/2021;410;931
Alumnos en práctica, sector privado;Personal de salud;05/03/2021;257;1399
Alumnos en práctica, sector privado;Personal de salud;06/03/2021;144;90
Alumnos en práctica, sector privado;Personal de salud;07/03/2021;4;8
Alumnos en práctica, sector privado;Personal de salud;08/03/2021;249;512
Alumnos en práctica, sector privado;Personal de salud;09/03/2021;227;412
Alumnos en práctica, sector privado;Personal de salud;10/03/2021;174;465
Alumnos en práctica, sector privado;Personal de salud;11/03/2021;174;407
Alumnos en práctica, sector privado;Personal de salud;12/03/2021;201;373
Alumnos en práctica, sector privado;Personal de salud;13/03/2021;23;68
Alumnos en práctica, sector privado;Personal de salud;14/03/2021;1;3
Alumnos en práctica, sector privado;Personal de salud;15/03/2021;171;309
Alumnos en práctica, sector privado;Personal de salud;16/03/2021;239;260
Alumnos en práctica, sector privado;Personal de salud;17/03/2021;312;228
Alumnos en práctica, sector privado;Personal de salud;18/03/2021;285;247
Alumnos en práctica, sector privado;Personal de salud;19/03/2021;290;203
Alumnos en práctica, sector privado;Personal de salud;20/03/2021;49;17
Alumnos en práctica, sector privado;Personal de salud;21/03/2021;18;1
Alumnos en práctica, sector privado;Personal de salud;22/03/2021;267;146
Alumnos en práctica, sector privado;Personal de salud;23/03/2021;242;146
Alumnos en práctica, sector privado;Personal de salud;24/03/2021;279;237
Alumnos en práctica, sector privado;Personal de salud;25/03/2021;217;88
Alumnos en práctica, sector privado;Personal de salud;26/03/2021;294;200
Alumnos en práctica, sector privado;Personal de salud;27/03/2021;26;5
Alumnos en práctica, sector privado;Personal de salud;28/03/2021;3;2
Alumnos en práctica, sector privado;Personal de salud;29/03/2021;147;107
Alumnos en práctica, sector privado;Personal de salud;30/03/2021;158;235
Alumnos en práctica, sector privado;Personal de salud;31/03/2021;206;387
Alumnos en práctica, sector privado;Personal de salud;01/04/2021;190;446
Alumnos en práctica, sector privado;Personal de salud;02/04/2021;3;10
Alumnos en práctica, sector privado;Personal de salud;03/04/2021;2;5
Alumnos en práctica, sector privado;Personal de salud;04/04/2021;1;2
Alumnos en práctica, sector privado;Personal de salud;05/04/2021;148;493
Alumnos en práctica, sector privado;Personal de salud;06/04/2021;122;234
Alumnos en práctica, sector privado;Personal de salud;07/04/2021;125;175
Alumnos en práctica, sector privado;Personal de salud;08/04/2021;118;176
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;;;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;03/02/2021;19;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;04/02/2021;33;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;05/02/2021;54;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;06/02/2021;307;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;07/02/2021;1;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;08/02/2021;3983;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;09/02/2021;6786;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;10/02/2021;9472;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;11/02/2021;13004;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;12/02/2021;12446;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;13/02/2021;2536;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;14/02/2021;206;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;15/02/2021;10474;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;16/02/2021;11222;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;17/02/2021;11879;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;18/02/2021;9382;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;19/02/2021;7891;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;20/02/2021;820;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;21/02/2021;159;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;22/02/2021;4258;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;23/02/2021;3017;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;24/02/2021;2675;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;25/02/2021;2667;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;26/02/2021;2667;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;27/02/2021;450;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;28/02/2021;2;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;01/03/2021;2032;
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;02/03/2021;2001;1
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;03/03/2021;1903;12
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;04/03/2021;1768;36
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;05/03/2021;2119;73
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;06/03/2021;390;276
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;07/03/2021;88;7
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;08/03/2021;1296;3558
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;09/03/2021;1972;6323
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;10/03/2021;2954;9008
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;11/03/2021;4398;12217
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;12/03/2021;3040;11539
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;13/03/2021;680;2068
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;14/03/2021;44;178
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;15/03/2021;4296;10400
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;16/03/2021;5141;11493
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;17/03/2021;4972;11638
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;18/03/2021;5645;10006
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;19/03/2021;4746;8219
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;20/03/2021;816;779
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;21/03/2021;87;175
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;22/03/2021;13048;5042
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;23/03/2021;14866;3723
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;24/03/2021;11047;2484
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;25/03/2021;12645;2168
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;26/03/2021;14486;1871
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;27/03/2021;1091;124
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;28/03/2021;54;5
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;29/03/2021;6562;1916
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;30/03/2021;6615;1894
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;31/03/2021;6504;2337
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;01/04/2021;5803;2001
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;02/04/2021;176;77
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;03/04/2021;71;19
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;04/04/2021;68;4
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;05/04/2021;4362;2448
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;06/04/2021;4569;2140
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;07/04/2021;4296;2904
Atencion directa a la Ciudadanía;Personas Servicios esenciales del estado;08/04/2021;4249;3351
Capullo de inmunocomprometido pediátrico;Población vulnerable;;;
Capullo de inmunocomprometido pediátrico;Población vulnerable;15/02/2021;3;
Capullo de inmunocomprometido pediátrico;Población vulnerable;19/02/2021;1;
Capullo de inmunocomprometido pediátrico;Población vulnerable;04/03/2021;1;
Capullo de inmunocomprometido pediátrico;Población vulnerable;10/03/2021;1;
Capullo de inmunocomprometido pediátrico;Población vulnerable;13/03/2021;8;
Capullo de inmunocomprometido pediátrico;Población vulnerable;14/03/2021;1;
Capullo de inmunocomprometido pediátrico;Población vulnerable;15/03/2021;120;2
Capullo de inmunocomprometido pediátrico;Población vulnerable;16/03/2021;236;
Capullo de inmunocomprometido pediátrico;Población vulnerable;17/03/2021;379;
Capullo de inmunocomprometido pediátrico;Población vulnerable;18/03/2021;491;2
Capullo de inmunocomprometido pediátrico;Población vulnerable;19/03/2021;651;
Capullo de inmunocomprometido pediátrico;Población vulnerable;20/03/2021;131;
Capullo de inmunocomprometido pediátrico;Población vulnerable;21/03/2021;9;
Capullo de inmunocomprometido pediátrico;Población vulnerable;22/03/2021;903;
Capullo de inmunocomprometido pediátrico;Población vulnerable;23/03/2021;831;
Capullo de inmunocomprometido pediátrico;Población vulnerable;24/03/2021;901;
Capullo de inmunocomprometido pediátrico;Población vulnerable;25/03/2021;784;
Capullo de inmunocomprometido pediátrico;Población vulnerable;26/03/2021;739;
Capullo de inmunocomprometido pediátrico;Población vulnerable;27/03/2021;74;
Capullo de inmunocomprometido pediátrico;Población vulnerable;28/03/2021;6;
Capullo de inmunocomprometido pediátrico;Población vulnerable;29/03/2021;715;
Capullo de inmunocomprometido pediátrico;Población vulnerable;30/03/2021;704;
Capullo de inmunocomprometido pediátrico;Población vulnerable;31/03/2021;643;
Capullo de inmunocomprometido pediátrico;Población vulnerable;01/04/2021;642;1
Capullo de inmunocomprometido pediátrico;Población vulnerable;02/04/2021;12;
Capullo de inmunocomprometido pediátrico;Población vulnerable;03/04/2021;5;
Capullo de inmunocomprometido pediátrico;Población vulnerable;04/04/2021;3;
Capullo de inmunocomprometido pediátrico;Población vulnerable;05/04/2021;511;1
Capullo de inmunocomprometido pediátrico;Población vulnerable;06/04/2021;467;
Capullo de inmunocomprometido pediátrico;Población vulnerable;07/04/2021;387;
Capullo de inmunocomprometido pediátrico;Población vulnerable;08/04/2021;381;
Carabineros- PDI;Personas Servicios esenciales del estado;;;
Carabineros- PDI;Personas Servicios esenciales del estado;18/01/2021;2;
Carabineros- PDI;Personas Servicios esenciales del estado;19/01/2021;19;
Carabineros- PDI;Personas Servicios esenciales del estado;03/02/2021;17;
Carabineros- PDI;Personas Servicios esenciales del estado;04/02/2021;5;
Carabineros- PDI;Personas Servicios esenciales del estado;05/02/2021;30;
Carabineros- PDI;Personas Servicios esenciales del estado;06/02/2021;83;
Carabineros- PDI;Personas Servicios esenciales del estado;07/02/2021;2;
Carabineros- PDI;Personas Servicios esenciales del estado;08/02/2021;4907;2
Carabineros- PDI;Personas Servicios esenciales del estado;09/02/2021;8453;18
Carabineros- PDI;Personas Servicios esenciales del estado;10/02/2021;7378;
Carabineros- PDI;Personas Servicios esenciales del estado;11/02/2021;6476;
Carabineros- PDI;Personas Servicios esenciales del estado;12/02/2021;4579;
Carabineros- PDI;Personas Servicios esenciales del estado;13/02/2021;582;
Carabineros- PDI;Personas Servicios esenciales del estado;14/02/2021;230;
Carabineros- PDI;Personas Servicios esenciales del estado;15/02/2021;2551;
Carabineros- PDI;Personas Servicios esenciales del estado;16/02/2021;2299;
Carabineros- PDI;Personas Servicios esenciales del estado;17/02/2021;1865;
Carabineros- PDI;Personas Servicios esenciales del estado;18/02/2021;1391;
Carabineros- PDI;Personas Servicios esenciales del estado;19/02/2021;1057;
Carabineros- PDI;Personas Servicios esenciales del estado;20/02/2021;174;
Carabineros- PDI;Personas Servicios esenciales del estado;21/02/2021;49;
Carabineros- PDI;Personas Servicios esenciales del estado;22/02/2021;764;
Carabineros- PDI;Personas Servicios esenciales del estado;23/02/2021;602;
Carabineros- PDI;Personas Servicios esenciales del estado;24/02/2021;463;
Carabineros- PDI;Personas Servicios esenciales del estado;25/02/2021;449;
Carabineros- PDI;Personas Servicios esenciales del estado;26/02/2021;597;
Carabineros- PDI;Personas Servicios esenciales del estado;27/02/2021;64;
Carabineros- PDI;Personas Servicios esenciales del estado;28/02/2021;1;
Carabineros- PDI;Personas Servicios esenciales del estado;01/03/2021;287;
Carabineros- PDI;Personas Servicios esenciales del estado;02/03/2021;357;
Carabineros- PDI;Personas Servicios esenciales del estado;03/03/2021;368;11
Carabineros- PDI;Personas Servicios esenciales del estado;04/03/2021;319;7
Carabineros- PDI;Personas Servicios esenciales del estado;05/03/2021;232;108
Carabineros- PDI;Personas Servicios esenciales del estado;06/03/2021;52;50
Carabineros- PDI;Personas Servicios esenciales del estado;07/03/2021;3;3
Carabineros- PDI;Personas Servicios esenciales del estado;08/03/2021;438;4007
Carabineros- PDI;Personas Servicios esenciales del estado;09/03/2021;436;7802
Carabineros- PDI;Personas Servicios esenciales del estado;10/03/2021;460;6901
Carabineros- PDI;Personas Servicios esenciales del estado;11/03/2021;727;5662
Carabineros- PDI;Personas Servicios esenciales del estado;12/03/2021;650;4539
Carabineros- PDI;Personas Servicios esenciales del estado;13/03/2021;79;507
Carabineros- PDI;Personas Servicios esenciales del estado;14/03/2021;5;145
Carabineros- PDI;Personas Servicios esenciales del estado;15/03/2021;385;2897
Carabineros- PDI;Personas Servicios esenciales del estado;16/03/2021;450;2407
Carabineros- PDI;Personas Servicios esenciales del estado;17/03/2021;276;2001
Carabineros- PDI;Personas Servicios esenciales del estado;18/03/2021;314;1527
Carabineros- PDI;Personas Servicios esenciales del estado;19/03/2021;230;1281
Carabineros- PDI;Personas Servicios esenciales del estado;20/03/2021;31;116
Carabineros- PDI;Personas Servicios esenciales del estado;21/03/2021;4;13
Carabineros- PDI;Personas Servicios esenciales del estado;22/03/2021;334;1004
Carabineros- PDI;Personas Servicios esenciales del estado;23/03/2021;244;689
Carabineros- PDI;Personas Servicios esenciales del estado;24/03/2021;249;547
Carabineros- PDI;Personas Servicios esenciales del estado;25/03/2021;315;512
Carabineros- PDI;Personas Servicios esenciales del estado;26/03/2021;191;483
Carabineros- PDI;Personas Servicios esenciales del estado;27/03/2021;15;24
Carabineros- PDI;Personas Servicios esenciales del estado;28/03/2021;1;
Carabineros- PDI;Personas Servicios esenciales del estado;29/03/2021;129;267
Carabineros- PDI;Personas Servicios esenciales del estado;30/03/2021;138;371
Carabineros- PDI;Personas Servicios esenciales del estado;31/03/2021;120;352
Carabineros- PDI;Personas Servicios esenciales del estado;01/04/2021;75;345
Carabineros- PDI;Personas Servicios esenciales del estado;02/04/2021;4;4
Carabineros- PDI;Personas Servicios esenciales del estado;03/04/2021;1;7
Carabineros- PDI;Personas Servicios esenciales del estado;05/04/2021;128;596
Carabineros- PDI;Personas Servicios esenciales del estado;06/04/2021;95;382
Carabineros- PDI;Personas Servicios esenciales del estado;07/04/2021;85;407
Carabineros- PDI;Personas Servicios esenciales del estado;08/04/2021;104;577
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;;;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;08/02/2021;1;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;11/02/2021;11;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;12/02/2021;7;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;22/02/2021;1161;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;23/02/2021;2174;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;24/02/2021;1834;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;25/02/2021;3635;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;26/02/2021;3162;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;27/02/2021;348;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;28/02/2021;1;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;01/03/2021;1861;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;02/03/2021;3391;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;03/03/2021;2134;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;04/03/2021;1337;17
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;05/03/2021;818;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;06/03/2021;27;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;07/03/2021;5;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;08/03/2021;8728;1
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;09/03/2021;27832;1
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;10/03/2021;29964;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;11/03/2021;32085;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;12/03/2021;11213;2
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;13/03/2021;357;
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;15/03/2021;9353;813
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;16/03/2021;18681;2065
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;17/03/2021;16419;1770
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;18/03/2021;11250;3014
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;19/03/2021;6957;1609
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;20/03/2021;95;87
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;21/03/2021;8;1
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;22/03/2021;6814;2346
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;23/03/2021;12611;1668
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;24/03/2021;11993;534
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;25/03/2021;10018;270
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;26/03/2021;5730;289
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;27/03/2021;374;1
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;29/03/2021;3727;548
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;30/03/2021;6180;2535
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;31/03/2021;4864;2134
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;01/04/2021;2580;1378
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;02/04/2021;20;13
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;03/04/2021;2;1
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;05/04/2021;3634;8012
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;06/04/2021;7585;25397
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;07/04/2021;7330;27517
Enfermos crónicos desde los 16 a 59 años;Población vulnerable;08/04/2021;6804;27012
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;;;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;02/02/2021;2;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;03/02/2021;47;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;04/02/2021;197;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;05/02/2021;288;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;06/02/2021;68;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;07/02/2021;63;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;08/02/2021;599;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;09/02/2021;1059;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;10/02/2021;1656;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;11/02/2021;2001;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;12/02/2021;1937;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;13/02/2021;575;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;14/02/2021;55;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;15/02/2021;2912;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;16/02/2021;2508;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;17/02/2021;1932;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;18/02/2021;973;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;19/02/2021;756;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;20/02/2021;92;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;21/02/2021;7;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;22/02/2021;1277;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;23/02/2021;1544;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;24/02/2021;1330;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;25/02/2021;1438;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;26/02/2021;1666;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;27/02/2021;135;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;28/02/2021;8;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;01/03/2021;3879;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;02/03/2021;2792;
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;03/03/2021;2694;34
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;04/03/2021;3502;196
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;05/03/2021;3865;252
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;06/03/2021;624;96
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;07/03/2021;111;15
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;08/03/2021;67787;558
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;09/03/2021;62920;1059
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;10/03/2021;61703;1509
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;11/03/2021;90499;1901
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;12/03/2021;95829;1871
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;13/03/2021;15108;465
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;14/03/2021;1733;32
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;15/03/2021;88206;2809
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;16/03/2021;80879;2522
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;17/03/2021;69006;1807
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;18/03/2021;75172;1041
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;19/03/2021;77511;835
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;20/03/2021;13915;87
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;21/03/2021;1500;5
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;22/03/2021;39890;1370
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;23/03/2021;26214;1490
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;24/03/2021;24924;1322
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;25/03/2021;19774;1392
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;26/03/2021;22752;1549
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;27/03/2021;2788;102
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;28/03/2021;233;19
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;29/03/2021;19218;3496
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;30/03/2021;14137;2726
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;31/03/2021;14778;2751
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;01/04/2021;16933;4465
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;02/04/2021;332;169
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;03/04/2021;360;96
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;04/04/2021;177;96
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;05/04/2021;12496;59796
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;06/04/2021;7419;57109
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;07/04/2021;6928;59237
Enfermos crónicos desde los 18 a 59 años;Población vulnerable;08/04/2021;6389;80272
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;;;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;18/01/2021;405;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;19/01/2021;280;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;20/01/2021;217;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;21/01/2021;78;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;22/01/2021;2;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;02/02/2021;1;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;03/02/2021;3828;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;04/02/2021;4112;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;05/02/2021;3114;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;06/02/2021;821;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;07/02/2021;50;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;08/02/2021;1709;210
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;09/02/2021;1474;356
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;10/02/2021;1622;229
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;11/02/2021;1972;131
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;12/02/2021;1206;1
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;13/02/2021;256;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;14/02/2021;2;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;15/02/2021;938;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;16/02/2021;881;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;17/02/2021;649;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;18/02/2021;475;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;19/02/2021;648;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;20/02/2021;134;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;22/02/2021;324;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;23/02/2021;258;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;24/02/2021;224;32
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;25/02/2021;123;4
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;26/02/2021;67;
Establecimientos de Larga Estadia de Adultos Mayores (ELEAM);Personas en centros cerrados;27/02/2021;6;
